created_at,id,id_string,hashtags,hashtag_count,favorited,favorite_count,retweeted,retweet_count,user_name,user_screen_name,user_id,user_id_string,user_friends_count,hashtag_list,stitchfix_boolean,stelladot_boolean
Tue Jul 18 15:14:56 +0000 2017,887329849341358082,887329849341358082,"[{'indices': [77, 83], 'text': 'Shoes'}, {'indices': [84, 100], 'text': 'AnniversarySale'}]",2,False,0,False,0,Tom Ballentine,BallentineStyle,16484815,16484815,926,"Shoes, AnniversarySale",False,False
Tue Jul 18 15:35:37 +0000 2017,887335054262779905,887335054262779905,"[{'indices': [78, 87], 'text': 'clothing'}, {'indices': [88, 96], 'text': 'fashion'}, {'indices': [97, 113], 'text': 'subscriptionbox'}, {'indices': [114, 124], 'text': 'stitchfix'}]",4,False,0,False,229,kathy bp,LifeWithKathy,439533357,439533357,1167,"clothing, fashion, subscriptionbox, stitchfix",True,False
Tue Jul 18 15:54:56 +0000 2017,887339915356368901,887339915356368901,"[{'indices': [78, 87], 'text': 'clothing'}, {'indices': [88, 96], 'text': 'fashion'}, {'indices': [97, 113], 'text': 'subscriptionbox'}, {'indices': [114, 124], 'text': 'stitchfix'}]",4,False,0,False,229,Cassidy Springfield,CassidySpringf2,4333893622,4333893622,1015,"clothing, fashion, subscriptionbox, stitchfix",True,False
Tue Jul 18 15:55:26 +0000 2017,887340042234015744,887340042234015744,"[{'indices': [24, 34], 'text': 'stitchfix'}, {'indices': [35, 41], 'text': 'style'}, {'indices': [42, 51], 'text': 'clothing'}]",3,False,0,False,0,Mom Among Chaos,MomAmongChaos,882682116,882682116,1672,"stitchfix, style, clothing",True,False
Tue Jul 18 16:05:48 +0000 2017,887342648440352769,887342648440352769,"[{'indices': [132, 142], 'text': 'Stitchfix'}]",1,False,0,False,0,Angela Robinson,angelwings17948,22787542,22787542,171,Stitchfix,True,False
Tue Jul 18 16:14:14 +0000 2017,887344771726848000,887344771726848000,"[{'indices': [78, 87], 'text': 'clothing'}, {'indices': [88, 96], 'text': 'fashion'}, {'indices': [97, 113], 'text': 'subscriptionbox'}, {'indices': [114, 124], 'text': 'stitchfix'}]",4,False,0,False,229,kasandria,SBellasWays,17644563,17644563,14438,"clothing, fashion, subscriptionbox, stitchfix",True,False
Tue Jul 18 16:49:10 +0000 2017,887353562681851904,887353562681851904,"[{'indices': [78, 87], 'text': 'clothing'}, {'indices': [88, 96], 'text': 'fashion'}, {'indices': [97, 113], 'text': 'subscriptionbox'}, {'indices': [114, 124], 'text': 'stitchfix'}]",4,False,0,False,229,Lori Felix,morewless,18929351,18929351,37801,"clothing, fashion, subscriptionbox, stitchfix",True,False
Tue Jul 18 16:50:43 +0000 2017,887353953830060032,887353953830060032,"[{'indices': [78, 87], 'text': 'clothing'}, {'indices': [88, 96], 'text': 'fashion'}, {'indices': [97, 113], 'text': 'subscriptionbox'}, {'indices': [114, 124], 'text': 'stitchfix'}]",4,False,0,False,229,CourtneyLynne,BloggyBarbie,1496051322,1496051322,1938,"clothing, fashion, subscriptionbox, stitchfix",True,False
Tue Jul 18 16:58:31 +0000 2017,887355915296362496,887355915296362496,"[{'indices': [78, 87], 'text': 'clothing'}, {'indices': [88, 96], 'text': 'fashion'}, {'indices': [97, 113], 'text': 'subscriptionbox'}, {'indices': [114, 124], 'text': 'stitchfix'}]",4,False,0,False,229,Fountain Of 30,FountainOf30,10112122,10112122,3179,"clothing, fashion, subscriptionbox, stitchfix",True,False
Tue Jul 18 17:30:26 +0000 2017,887363950525825028,887363950525825028,"[{'indices': [78, 87], 'text': 'clothing'}, {'indices': [88, 96], 'text': 'fashion'}, {'indices': [97, 113], 'text': 'subscriptionbox'}, {'indices': [114, 124], 'text': 'stitchfix'}]",4,False,0,False,229,Katherine Hahn,krazykatfreebie,429970790,429970790,4233,"clothing, fashion, subscriptionbox, stitchfix",True,False
